sep=;;;;;;
Dataset;k;accuracy;alpha;weights;individual_accs;time
pima;3;65.108;0.2;[0.000, 0.000, 0.000, 0.896, 0.038, 0.000, 0.066];[0.618, 0.569, 0.647, 0.349, 0.606, 0.381, 0.594];8.7
pima;3;65.108;0.3;[0.000, 0.591, 0.039, 0.221, 0.000, 0.000, 0.149];[0.598, 0.570, 0.596, 0.349, 0.704, 0.382, 0.604];10.064
pima;3;65.108;0.8;[0.209, 0.738, 0.035, 0.000, 0.018, 0.000, 0.000];[0.597, 0.554, 0.593, 0.381, 0.606, 0.381, 0.604];8.824
pima;3;65.108;0.5;[0.000, 0.508, 0.125, 0.240, 0.000, 0.000, 0.128];[0.598, 0.554, 0.593, 0.400, 0.599, 0.382, 0.701];10.101
pima;3;65.108;0.6;[0.090, 0.713, 0.036, 0.161, 0.000, 0.000, 0.000];[0.597, 0.568, 0.593, 0.381, 0.599, 0.382, 0.595];9.918
pima;3;65.108;0.7;[0.019, 0.000, 0.079, 0.775, 0.000, 0.000, 0.127];[0.608, 0.554, 0.593, 0.381, 0.606, 0.501, 0.604];9.439
pima;3;65.108;0.9;[0.121, 0.323, 0.000, 0.222, 0.000, 0.222, 0.111];[0.597, 0.554, 0.593, 0.381, 0.606, 0.381, 0.604];10.624
pima;3;65.108;1;[0.048, 0.000, 0.058, 0.379, 0.000, 0.377, 0.138];[0.597, 0.554, 0.593, 0.381, 0.606, 0.381, 0.604];10.416
pima;3;65.108;1;[0.110, 0.320, 0.059, 0.201, 0.000, 0.201, 0.110];[0.597, 0.554, 0.593, 0.381, 0.606, 0.381, 0.604];11.413
pima;3;64.978;0;[0.037, 0.452, 0.213, 0.224, 0.069, 0.005, 0.000];[0.597, 0.554, 0.613, 0.349, 0.694, 0.421, 0.609];11.437
pima;3;64.718;0.4;[0.217, 0.000, 0.093, 0.417, 0.165, 0.000, 0.108];[0.694, 0.569, 0.611, 0.417, 0.612, 0.503, 0.616];9.98
pima;5;65.498;0.5;[0.000, 0.121, 0.010, 0.313, 0.030, 0.000, 0.526];[0.623, 0.568, 0.597, 0.461, 0.611, 0.388, 0.705];11.04
pima;5;65.108;0.1;[0.000, 0.000, 0.000, 0.878, 0.000, 0.000, 0.122];[0.716, 0.594, 0.609, 0.389, 0.622, 0.440, 0.613];8.543
pima;5;65.108;0.2;[0.000, 0.000, 0.023, 0.933, 0.000, 0.000, 0.045];[0.631, 0.594, 0.657, 0.349, 0.622, 0.389, 0.594];9.168
pima;5;65.108;0.4;[0.219, 0.000, 0.000, 0.551, 0.046, 0.000, 0.184];[0.699, 0.594, 0.609, 0.366, 0.627, 0.440, 0.614];9.527
pima;5;65.108;0;[0.135, 0.563, 0.000, 0.241, 0.016, 0.046, 0.000];[0.619, 0.568, 0.610, 0.349, 0.708, 0.431, 0.619];11.277
pima;5;65.108;0.3;[0.000, 0.468, 0.034, 0.217, 0.074, 0.000, 0.207];[0.623, 0.594, 0.613, 0.349, 0.705, 0.388, 0.620];10.799
pima;5;65.108;0.6;[0.157, 0.726, 0.009, 0.108, 0.000, 0.000, 0.000];[0.619, 0.595, 0.597, 0.369, 0.611, 0.388, 0.598];10.635
pima;5;65.108;0.8;[0.224, 0.776, 0.000, 0.000, 0.000, 0.000, 0.000];[0.619, 0.568, 0.597, 0.389, 0.622, 0.389, 0.620];8.294
pima;5;65.108;0.7;[0.000, 0.000, 0.069, 0.649, 0.078, 0.011, 0.193];[0.629, 0.568, 0.597, 0.389, 0.622, 0.430, 0.620];10.95
