sep=;
dataset;k;step;acc;weights;best_weights;best_acc
biodegradation;3;2650;83.3429;[39, 0, 26, 26, 13, 0, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2700;68.2095;[39, 13, 0, 39, 13, 0, 0];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2700;67.9143;[39, 13, 0, 39, 13, 0, 0];[26, 0, 0, 13, 0, 13, 52];87.3619
biodegradation;3;2700;70.4952;[39, 13, 0, 39, 13, 0, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2750;84.8095;[39, 26, 0, 13, 13, 0, 13];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2750;83.4571;[39, 26, 0, 13, 13, 0, 13];[26, 0, 0, 13, 0, 13, 52];87.3619
biodegradation;3;2750;87.0952;[39, 26, 0, 13, 13, 0, 13];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2800;83.3238;[52, 0, 0, 0, 13, 26, 13];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2800;80.7619;[52, 0, 0, 0, 13, 26, 13];[26, 0, 0, 13, 0, 13, 52];87.3619
biodegradation;3;2800;84.7333;[52, 0, 0, 0, 13, 26, 13];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2850;83.3619;[52, 0, 26, 0, 0, 26, 0];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2850;80.781;[52, 0, 26, 0, 0, 26, 0];[26, 0, 0, 13, 0, 13, 52];87.3619
biodegradation;3;2850;84.781;[52, 0, 26, 0, 0, 26, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2900;83.3143;[52, 26, 0, 0, 0, 26, 0];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2900;80.7714;[52, 26, 0, 0, 0, 26, 0];[26, 0, 0, 13, 0, 13, 52];87.3619
biodegradation;3;2900;84.7619;[52, 26, 0, 0, 0, 26, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;2950;83.2952;[65, 0, 26, 0, 0, 13, 0];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;2950;80.7238;[65, 0, 26, 0, 0, 13, 0];[26, 0, 0, 13, 0, 13, 52];87.3619
biodegradation;3;2950;84.7143;[65, 0, 26, 0, 0, 13, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;3000;83.3333;[91, 0, 13, 0, 0, 0, 0];[13, 0, 0, 13, 13, 13, 52];88.019
biodegradation;7;3000;80.7714;[91, 0, 13, 0, 0, 0, 0];[26, 0, 0, 13, 0, 13, 52];87.3619
biodegradation;3;3000;84.7619;[91, 0, 13, 0, 0, 0, 0];[0, 0, 0, 26, 0, 0, 78];90
