sep=;
dataset;k;step;acc;weights;best_weights;best_acc
pima;5;2500;73.3947;[26, 39, 0, 13, 26, 0, 0];[26, 13, 39, 0, 0, 0, 26];84.4868
pima;7;2900;78.0526;[52, 26, 0, 0, 0, 26, 0];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;3;2550;84.5921;[39, 0, 0, 0, 13, 39, 13];[26, 13, 39, 0, 0, 0, 26];85.7632
pima;5;2550;80.6974;[39, 0, 0, 0, 13, 39, 13];[26, 13, 39, 0, 0, 0, 26];84.4868
pima;7;2950;77.9342;[65, 0, 26, 0, 0, 13, 0];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;7;3000;78.0395;[91, 0, 13, 0, 0, 0, 0];[13, 0, 26, 26, 13, 0, 26];82.8947
pima;3;2600;84.8553;[39, 0, 13, 0, 0, 39, 13];[26, 13, 39, 0, 0, 0, 26];85.7632
pima;5;2600;82.1447;[39, 0, 13, 0, 0, 39, 13];[26, 13, 39, 0, 0, 0, 26];84.4868
pima;3;2650;83.4868;[39, 0, 26, 26, 13, 0, 0];[26, 13, 39, 0, 0, 0, 26];85.7632
pima;5;2650;80;[39, 0, 26, 26, 13, 0, 0];[26, 13, 39, 0, 0, 0, 26];84.4868
pima;3;2700;82.2105;[39, 13, 0, 39, 13, 0, 0];[26, 13, 39, 0, 0, 0, 26];85.7632
pima;5;2700;79.3947;[39, 13, 0, 39, 13, 0, 0];[26, 13, 39, 0, 0, 0, 26];84.4868
pima;3;2750;84.5132;[39, 26, 0, 13, 13, 0, 13];[26, 13, 39, 0, 0, 0, 26];85.7632
pima;5;2750;80.5921;[39, 26, 0, 13, 13, 0, 13];[26, 13, 39, 0, 0, 0, 26];84.4868
pima;3;2800;84.6842;[52, 0, 0, 0, 13, 26, 13];[26, 13, 39, 0, 0, 0, 26];85.7632
pima;5;2800;79.3553;[52, 0, 0, 0, 13, 26, 13];[26, 13, 39, 0, 0, 0, 26];84.4868
pima;3;2850;84.7895;[52, 0, 26, 0, 0, 26, 0];[26, 13, 39, 0, 0, 0, 26];85.7632
pima;5;2850;79.4211;[52, 0, 26, 0, 0, 26, 0];[26, 13, 39, 0, 0, 0, 26];84.4868
pima;3;2900;84.7368;[52, 26, 0, 0, 0, 26, 0];[26, 13, 39, 0, 0, 0, 26];85.7632
pima;5;2900;79.4605;[52, 26, 0, 0, 0, 26, 0];[26, 13, 39, 0, 0, 0, 26];84.4868
pima;3;2950;84.7368;[65, 0, 26, 0, 0, 13, 0];[26, 13, 39, 0, 0, 0, 26];85.7632
pima;5;2950;79.3947;[65, 0, 26, 0, 0, 13, 0];[26, 13, 39, 0, 0, 0, 26];84.4868
pima;3;3000;84.6974;[91, 0, 13, 0, 0, 0, 0];[26, 13, 39, 0, 0, 0, 26];85.7632
pima;5;3000;79.4474;[91, 0, 13, 0, 0, 0, 0];[26, 13, 39, 0, 0, 0, 26];84.4868
